INFO 2024-01-06 04:43:03,913 autoreload 13972 15116 Watching for file changes with StatReloader
INFO 2024-01-06 04:44:13,877 autoreload 13972 15116 F:\projects_1\store_for_elen\product\models.py changed, reloading.
INFO 2024-01-06 04:44:14,397 autoreload 14312 6940 Watching for file changes with StatReloader
INFO 2024-01-06 04:47:01,311 autoreload 8916 11660 Watching for file changes with StatReloader
INFO 2024-01-06 04:47:03,257 basehttp 8916 15044 "GET / HTTP/1.1" 200 14876
WARNING 2024-01-06 04:47:03,315 log 8916 15044 Not Found: /web/css/bootstrap.css
WARNING 2024-01-06 04:47:03,316 log 8916 14348 Not Found: /web/css/style.css
WARNING 2024-01-06 04:47:03,317 log 8916 5436 Not Found: /web/js/jquery.min.js
WARNING 2024-01-06 04:47:03,318 log 8916 14636 Not Found: /web/js/easing.js
WARNING 2024-01-06 04:47:03,319 log 8916 13844 Not Found: /web/js/move-top.js
WARNING 2024-01-06 04:47:03,320 basehttp 8916 15044 "GET /web/css/bootstrap.css HTTP/1.1" 404 2515
WARNING 2024-01-06 04:47:03,320 basehttp 8916 14348 "GET /web/css/style.css HTTP/1.1" 404 2503
WARNING 2024-01-06 04:47:03,320 basehttp 8916 5436 "GET /web/js/jquery.min.js HTTP/1.1" 404 2512
WARNING 2024-01-06 04:47:03,321 basehttp 8916 14636 "GET /web/js/easing.js HTTP/1.1" 404 2500
WARNING 2024-01-06 04:47:03,322 basehttp 8916 13844 "GET /web/js/move-top.js HTTP/1.1" 404 2506
WARNING 2024-01-06 04:47:03,336 log 8916 14636 Not Found: /web/images/nav-icon.png
WARNING 2024-01-06 04:47:03,337 log 8916 5436 Not Found: /web/css/style.css
WARNING 2024-01-06 04:47:03,338 log 8916 13844 Not Found: /web/images/logo.png
WARNING 2024-01-06 04:47:03,339 basehttp 8916 14636 "GET /web/images/nav-icon.png HTTP/1.1" 404 2521
WARNING 2024-01-06 04:47:03,339 basehttp 8916 5436 "GET /web/css/style.css HTTP/1.1" 404 2503
WARNING 2024-01-06 04:47:03,340 basehttp 8916 13844 "GET /web/images/logo.png HTTP/1.1" 404 2509
WARNING 2024-01-06 04:47:03,353 log 8916 5436 Not Found: /web/images/slide1.png
WARNING 2024-01-06 04:47:03,354 log 8916 13844 Not Found: /web/js/responsiveslides.min.js
WARNING 2024-01-06 04:47:03,355 basehttp 8916 5436 "GET /web/images/slide1.png HTTP/1.1" 404 2515
WARNING 2024-01-06 04:47:03,355 basehttp 8916 13844 "GET /web/js/responsiveslides.min.js HTTP/1.1" 404 2542
WARNING 2024-01-06 04:47:03,365 log 8916 13844 Not Found: /web/images/slide2.png
WARNING 2024-01-06 04:47:03,366 basehttp 8916 13844 "GET /web/images/slide2.png HTTP/1.1" 404 2515
WARNING 2024-01-06 04:47:03,375 log 8916 13844 Not Found: /web/images/img-w.jpg
WARNING 2024-01-06 04:47:03,375 basehttp 8916 13844 "GET /web/images/img-w.jpg HTTP/1.1" 404 2512
WARNING 2024-01-06 04:47:03,382 log 8916 13844 Not Found: /web/images/obj1.png
WARNING 2024-01-06 04:47:03,382 basehttp 8916 13844 "GET /web/images/obj1.png HTTP/1.1" 404 2509
WARNING 2024-01-06 04:47:03,390 log 8916 13844 Not Found: /web/images/list-icon.png
WARNING 2024-01-06 04:47:03,390 basehttp 8916 13844 "GET /web/images/list-icon.png HTTP/1.1" 404 2524
WARNING 2024-01-06 04:47:03,397 log 8916 13844 Not Found: /web/images/man-r-img.jpg
WARNING 2024-01-06 04:47:03,398 basehttp 8916 13844 "GET /web/images/man-r-img.jpg HTTP/1.1" 404 2524
WARNING 2024-01-06 04:47:03,404 log 8916 13844 Not Found: /web/images/obj2.png
WARNING 2024-01-06 04:47:03,405 basehttp 8916 13844 "GET /web/images/obj2.png HTTP/1.1" 404 2509
WARNING 2024-01-06 04:47:03,412 log 8916 13844 Not Found: /web/images/kid-r-img.jpg
WARNING 2024-01-06 04:47:03,412 basehttp 8916 13844 "GET /web/images/kid-r-img.jpg HTTP/1.1" 404 2524
WARNING 2024-01-06 04:47:03,419 log 8916 13844 Not Found: /web/images/obj3.png
WARNING 2024-01-06 04:47:03,419 basehttp 8916 13844 "GET /web/images/obj3.png HTTP/1.1" 404 2509
WARNING 2024-01-06 04:47:03,426 log 8916 13844 Not Found: /web/images/b1.jpg
WARNING 2024-01-06 04:47:03,427 basehttp 8916 13844 "GET /web/images/b1.jpg HTTP/1.1" 404 2503
